Win,Num,PassYds,Year,Opponent
W,1,207,2021,Arizona
W,1,149,2021,Utah
W,1,217,2021,Arizona State
W,1,305,2021,South Florida
W,1,245,2021,Utah State
L,0,302,2021,Boise State
L,0,342,2021,Baylor
W,1,147,2021,Washington State
W,1,349,2021,Virgina
W,1,387,2021,Idaho State
W,1,312,2021,Georgia Southern
W,1,276,2021,USC
L,0,195,2021,UAB
W,1,261,2022,South Florida
W,1,283,2022,Baylor
L,0,305,2022,Oregon
W,1,337,2022,Wyoming
W,1,280,2022,Utah State
L,0,120,2022,Notre Dame
L,0,356,2022,Arkansas
L,0,187,2022,Liberty
L,0,144,2022,East Carolina
W,1,377,2022,Boise State
W,1,456,2022,Utah Tech
W,1,93,2022,Stanford
W,1,47,2022,SMU
W,1,145,2023,Sam Houston
W,1,348,2023,Southern Utah
W,1,204,2023,Arkansas
L,0,357,2023,Kansas
W,1,225,2023,Cincinnati
L,0,152,2023,TCU
W,1,127,2023,Texas Tech
L,0,197,2023,Texas
L,0,210,2023,West Virginia
L,0,130,2023,Iowa State
L,0,173,2023,Oklahoma
L,0,197,2023,Oklahoma St.
W,1,348,2024,southern Ill.
W,1,202,2024,SMU
W,1,318,2024,Wyoming
W,1,149,2024,Kansas St.
W,1,218,2024,Baylor
W,1,251,2024,Arizona
W,1,218,2024,Oklahoma St.
W,1,228,2024,UCF
W,1,219,2024,Utah
L,0,192,2024,Kansas
