weight,airmass,Time to drop 1,Time to drop 2,avgtime,observation_num,,,,,,
Penny,Large,2.18,2.25,2.215,1,,,,,,
Nothing,Small,2.45,2.28,2.365,2,,,,,,
Penny,Small,1.7,1.56,1.63,3,,,,,,
Nothing,Large,3.03,2.97,3,4,,,,,,
Quarter,Large,1.85,1.76,1.805,5,,,,,,
Quarter,Large,1.86,2,1.93,6,,,,,,
Nothing,Small,2.21,2.22,2.215,7,,,,,,
Nothing,Large,3,3.15,3.075,8,,,,,,
Quarter,Large,2.01,1.85,1.93,9,,,,,,
Penny,Large,2.1,2.23,2.165,10,,,,,,
Penny,Small,1.48,1.63,1.555,11,,,,,,
Nothing,Small,2.26,2.11,2.185,12,,,,,,
Quarter,Large,1.78,1.71,1.745,13,,,,,,
Nothing,Large,3.06,3.22,3.14,14,,,,,,
Nothing,Small,2.18,2.32,2.25,15,,,,,,
Nothing,Small,2.2,2.21,2.205,16,,,,,,
Quarter,Small,1.13,1.3,1.215,17,,,,,,
Penny,Small,1.54,1.56,1.55,18,,,,,,
Penny,Large,2.12,2.2,2.16,19,,,,,,
Quarter,Small,1.23,1.21,1.22,20,,,,,,
Penny,Large,2.05,2.2,2.125,21,,,,,,
Penny,Large,2.31,2.23,2.27,22,,,,,,
Quarter,Small,1.2,1.25,1.225,23,,,,,,
Penny,Small,1.53,1.75,1.64,24,,,,,,
Nothing,Large,2.98,3.03,3.005,25,,,,,,
Quarter,Small,1.21,1.2,1.205,26,,,,,,
Quarter,Large,1.88,1.78,1.83,27,,,,,,
Penny,Small,1.41,1.65,1.53,28,,,,,,
Nothing,Large,2.88,3.1,2.99,29,,,,,,
Quarter,Small,1.21,1.2,1.205,30,,,,,,
