StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Friends Initials,Tense,Vaca_Avg,Job_Avg,Date_Avg,House_Avg,Car_Avg,Total Average,Vacation_1,Vacation_2,Vacation_3,Vacation_4,Vacation_5,Job_1,Job_2,Job_3,Job_4,Job_5,Date_1,Date_2,Date_3,Date_4,Date_5,House_1,House_2,House_3,House_4,House_5,Car_1,Car_2,Car_3,Car_4,Car_5,Imagination_1,Imagination_2,RC Imagine 2,Imagination_3,RC Imagine 3,Imagination_4,Imagination_Avg,HowClose,Gender,Ethnicity,Age,Religion,time,TIME,Job,House,Car,Religion_11_TEXT,id,a,b,c,d,e,f,g
11/8/24 10:22,11/8/24 10:35,IP Address,98.176.161.243,100,727,TRUE,11/8/24 10:35,R_7VmQ4W1y1KVF25x,32.8338,-116.7505,anonymous,EN,I am at least 18 years old. I understand this consent form and I agree to participate in the research.,MW,Future,5.2,5.2,5.2,5.6,4.2,5.08,5,4,6,4,7,5,5,6,4,6,5,5,6,4,6,6,6,6,4,6,5,4,5,2,5,6,1,7,1,7,7,6.75,7,Female,Caucasian American/White,50,Latter-day Saint,before this event will occur,BEFORE,starts,moves,acquires,,125626,x,3,1,x,5,2,4
11/8/24 10:41,11/8/24 10:47,IP Address,24.11.102.138,100,366,TRUE,11/8/24 10:47,R_3eFWAFByBkqec53,40.576,-111.8788,anonymous,EN,I am at least 18 years old. I understand this consent form and I agree to participate in the research.,EO,Past,5.8,3.8,5,4.8,4.2,4.72,7,7,7,2,6,4,4,4,2,5,5,5,4,5,6,7,5,4,3,5,4,4,4,3,6,5,2,6,2,6,7,6,7,Female,Caucasian American/White,27,Latter-day Saint,after this event has already occurred,AFTER,started,moved,acquired,,376360,1,x,4,2,5,x,3
11/8/24 10:55,11/8/24 10:59,IP Address,172.56.208.205,100,260,TRUE,11/8/24 10:59,R_7Bn4VXusCrKlaHR,36.122,-115.086,anonymous,EN,I am at least 18 years old. I understand this consent form and I agree to participate in the research.,RF,Future,4.8,4.8,2.8,5,2,3.88,6,6,6,1,5,6,6,3,5,4,2,2,3,3,4,5,5,6,5,4,2,2,2,1,3,5,1,7,4,4,5,5.25,6,Female,Caucasian American/White,34,Latter-day Saint,before this event will occur,BEFORE,starts,moves,acquires,,276751,x,2,4,5,x,1,3
11/8/24 11:06,11/8/24 11:13,IP Address,75.164.220.123,100,382,TRUE,11/8/24 11:13,R_2VcjU5sLicFzOQV,45.5288,-122.6821,anonymous,EN,I am at least 18 years old. I understand this consent form and I agree to participate in the research.,NR,Future,3.4,1,1,3.2,1,1.92,4,4,3,2,4,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,1,1,1,1,1,4,4,4,3,5,2,3.75,7,Female,Caucasian American/White,36,Latter-day Saint,before this event will occur,BEFORE,starts,moves,acquires,,640022,2,x,5,x,1,4,3
11/8/24 11:23,11/8/24 11:31,IP Address,38.175.145.112,100,500,TRUE,11/8/24 11:31,R_7OOtw9mZo9JnP1f,53.5334,-113.9187,anonymous,EN,I am at least 18 years old. I understand this consent form and I agree to participate in the research.,WS,Past,3.6,4.8,4,4.6,2.4,3.88,3,2,6,1,6,5,4,7,1,7,4,3,6,1,6,5,4,6,1,7,2,2,3,1,4,6,6,2,2,6,6,5,7,Female,Caucasian American/White,47,Latter-day Saint,after this event has already occurred,AFTER,started,moved,acquired,,867584,x,2,3,5,1,4,x
11/8/24 11:47,11/8/24 11:50,IP Address,72.207.155.189,100,234,TRUE,11/8/24 11:50,R_5DxnK7ZNM0gDwMF,36.2973,-115.2418,anonymous,EN,I am at least 18 years old. I understand this consent form and I agree to participate in the research.,L.D.,Past,1.6,6,3.4,4.6,1,3.32,1,2,2,1,2,4,6,6,7,7,3,4,3,3,4,5,6,5,2,5,1,1,1,1,1,6,1,7,1,7,5,6.25,5,Female,Caucasian American/White,19,,after this event has already occurred,AFTER,started,moved,acquired,,970553,x,5,4,3,2,x,1
11/8/24 12:06,11/8/24 12:14,IP Address,136.36.239.2,100,474,TRUE,11/8/24 12:14,R_5sznMMWa22xoQ0N,40.6571,-111.8343,anonymous,EN,I am at least 18 years old. I understand this consent form and I agree to participate in the research.,AC,Future,4.6,5.4,3.6,5.8,3.4,4.56,5,5,5,1,7,6,6,7,1,7,3,3,4,1,7,7,7,7,1,7,3,3,3,1,7,3,1,7,1,7,5,5.5,6,Female,Caucasian American/White,39,Latter-day Saint,before this event will occur,BEFORE,starts,moves,acquires,,642227,2,x,3,5,1,4,x
11/8/24 12:26,11/8/24 12:33,IP Address,75.169.1.168,100,417,TRUE,11/8/24 12:33,R_72PtomNFy8q1IGt,40.4058,-111.841,anonymous,EN,I am at least 18 years old. I understand this consent form and I agree to participate in the research.,WS,Future,4,4.2,5.4,6,3.6,4.64,6,3,5,1,5,6,3,6,1,5,7,3,7,3,7,7,4,7,5,7,5,2,4,2,5,7,1,7,1,7,6,6.75,7,Female,Caucasian American/White,67,Latter-day Saint,before this event will occur,BEFORE,starts,moves,acquires,,924843,x,1,5,x,4,3,2
11/8/24 13:17,11/8/24 13:21,IP Address,157.201.96.100,100,239,TRUE,11/8/24 13:21,R_3WMR35UsyrNxObh,43.8125,-111.7855,anonymous,EN,I am at least 18 years old. I understand this consent form and I agree to participate in the research.,CK,Past,3.6,4.6,4,4.2,4.2,4.12,4,2,7,2,3,5,3,7,2,6,2,3,7,2,6,3,3,7,2,6,3,2,7,3,6,5,2,6,2,6,5,5.5,7,Male,Caucasian American/White,21,Latter-day Saint,after this event has already occurred,AFTER,started,moved,acquired,,611612,x,3,1,2,4,x,5
11/8/24 13:56,11/8/24 14:02,IP Address,205.185.98.18,100,391,TRUE,11/8/24 14:02,R_3f1kz6Qn3A1Jhna,43.8125,-111.7855,anonymous,EN,I am at least 18 years old. I understand this consent form and I agree to participate in the research.,HM,Past,1.4,4.2,1.4,3.8,5.2,3.2,2,2,1,1,1,4,4,3,5,5,2,2,1,1,1,4,4,4,3,4,7,6,6,3,4,3,1,7,3,5,3,4.5,6,Male,Caucasian American/White,21,Latter-day Saint,after this event has already occurred,AFTER,started,moved,acquired,,842340,x,1,2,4,5,x,3
