person,track,weight,kart,minutes,seconds,time,,,,,,
Cali,3,Light,Motorcycle,3,13.4,193.4,,,,,,
Lexi,3,Light,Kart,3,11.3,191.3,,,,,,
Stephanie,3,Light,Kart,3,7.44,187.44,,,,,,
Lauren,3,Heavy,Motorcycle,3,12.1,192.1,,,,,,
Cali,3,Light,Kart,3,37.29,217.29,,,,,,
Lexi,3,Heavy,Motorcycle,3,35.43,215.43,,,,,,
Stephanie,3,Heavy,Motorcycle,3,38.36,218.36,,,,,,
Lauren,3,Light,Kart,3,45.83,225.83,,,,,,
Cali,2,Light,Kart,2,35.8,155.8,,,,,,
Lexi,2,Light,Motorcycle,2,33,153,,,,,,
Stephanie,2,Heavy,Motorcycle,2,33,153,,,,,,
Lauren,2,Heavy,Kart,2,37.99,157.99,,,,,,
Cali,4,Light,Motorcycle,1,54.2,114.2,,,,,,
Lexi,4,Light,Motorcycle,1,49.99,109.99,,,,,,
Stephanie,4,Light,Kart,1,56.5,116.5,,,,,,
Lauren,4,Light,Kart,1,54.07,114.07,,,,,,
Cali,2,Light,Motorcycle,3,10.73,190.73,,,,,,
Lexi,2,Light,Kart,3,12.77,192.77,,,,,,
Stephanie,2,Light,Kart,3,13.54,193.54,,,,,,
Lauren,2,Heavy,Motorcycle,3,10.79,190.79,,,,,,
Cali,4,Heavy,Motorcycle,2,26.86,146.86,,,,,,
Lexi,4,Light,Kart,2,17.77,137.77,,,,,,
Stephanie,4,Heavy,Motorcycle,2,19.66,139.66,,,,,,
Lauren,4,Light,Motorcycle,2,24.69,144.69,,,,,,
Cali,1,Heavy,Kart,3,1.48,181.48,,,,,,
Lexi,1,Heavy,Motorcycle,2,57.32,177.32,,,,,,
Stephanie,1,Heavy,Motorcycle,3,3.66,183.66,,,,,,
Lauren,1,Light,Motorcycle,3,0.84,180.84,,,,,,
Cali,2,Heavy,Motorcycle,3,4.81,184.81,,,,,,
Lexi,2,Heavy,Kart,2,54.74,174.74,,,,,,
Stephanie,2,Light,Motorcycle,2,52.41,172.41,,,,,,
Lauren,2,Light,Kart,2,56.52,176.52,,,,,,
Cali,3,Heavy,Kart,3,17.7,197.7,,,,,,
Lexi,3,Light,Motorcycle,3,4.01,184.01,,,,,,
Stephanie,3,Light,Motorcycle,3,11.93,191.93,,,,,,
Lauren,3,Heavy,Kart,3,15.99,195.99,,,,,,
Cali,3,Heavy,Motorcycle,3,19.23,199.23,,,,,,
Lexi,3,Heavy,Kart,3,9,189,,,,,,
Stephanie,3,Heavy,Kart,3,10.03,190.03,,,,,,
Lauren,3,Light,Motorcycle,3,11,191,,,,,,
Cali,2,Heavy,Kart,2,46.45,166.45,,,,,,
Lexi,2,Heavy,Motorcycle,2,44.01,164.01,,,,,,
Stephanie,2,Heavy,Kart,2,43.71,163.71,,,,,,
Lauren,2,Light,Motorcycle,2,43.95,163.95,,,,,,
Cali,1,Light,Kart,2,6.56,126.56,,,,,,
Lexi,1,Light,Kart,2,7.95,127.95,,,,,,
Stephanie,1,Light,Motorcycle,2,11.22,131.22,,,,,,
Lauren,1,Heavy,Kart,2,14.35,134.35,,,,,,
Cali,1,Heavy,Motorcycle,2,10.7,130.7,,,,,,
Lexi,1,Heavy,Kart,2,9.46,129.46,,,,,,
Stephanie,1,Light,Kart,2,6,126,,,,,,
Lauren,1,Heavy,Motorcycle,2,15.57,135.57,,,,,,
Cali,4,Heavy,Kart,3,41.05,221.05,,,,,,
Lexi,4,Heavy,Motorcycle,3,47.24,227.24,,,,,,
Stephanie,4,Heavy,Kart,3,46.86,226.86,,,,,,
Lauren,4,Heavy,Kart,3,47.84,227.84,,,,,,
Cali,4,Light,Kart,3,10.25,190.25,,,,,,
Lexi,4,Heavy,Kart,3,7.91,187.91,,,,,,
Stephanie,4,Light,Motorcycle,3,5.78,185.78,,,,,,
Lauren,4,Heavy,Motorcycle,3,7.92,187.92,,,,,,
Cali,1,Light,Motorcycle,2,47.37,167.37,,,,,,
Lexi,1,Light,Motorcycle,2,35.86,155.86,,,,,,
Stephanie,1,Heavy,Kart,2,41.74,161.74,,,,,,
