toDate,sessions,asleep,SEASON
"Friday, Jul 26, 2024",2,5:19:00,Summer
"Saturday, Jul 27, 2024",1,6:42:00,Summer
"Sunday, Jul 28, 2024",1,7:11:00,Summer
"Monday, Jul 29, 2024",1,6:43:30,Summer
"Tuesday, Jul 30, 2024",1,9:27:00,Summer
"Wednesday, Jul 31, 2024",2,9:05:00,Summer
"Thursday, Aug 1, 2024",1,3:28:30,Summer
"Friday, Aug 2, 2024",1,10:34:00,Summer
"Saturday, Aug 3, 2024",1,6:01:30,Summer
"Sunday, Aug 4, 2024",1,9:52:00,Summer
"Monday, Aug 5, 2024",1,5:58:00,Summer
"Tuesday, Aug 6, 2024",1,8:34:30,Summer
"Wednesday, Aug 7, 2024",2,10:37:30,Summer
"Thursday, Aug 8, 2024",1,8:32:30,Summer
"Friday, Aug 9, 2024",1,8:57:00,Summer
"Sunday, Aug 11, 2024",2,5:23:00,Summer
"Monday, Aug 12, 2024",1,8:04:30,Summer
"Tuesday, Aug 13, 2024",1,6:25:00,Summer
"Wednesday, Aug 14, 2024",1,5:02:30,Summer
"Thursday, Aug 15, 2024",2,6:25:30,Summer
"Friday, Aug 16, 2024",2,6:34:00,Summer
"Saturday, Aug 17, 2024",1,6:08:00,Summer
"Sunday, Aug 18, 2024",1,6:30:00,Summer
"Monday, Aug 19, 2024",2,8:25:30,Summer
"Tuesday, Aug 20, 2024",2,6:31:00,Summer
"Wednesday, Aug 21, 2024",2,6:55:00,Summer
"Thursday, Aug 22, 2024",1,9:16:30,Summer
"Friday, Aug 23, 2024",1,5:55:30,Summer
"Saturday, Aug 24, 2024",2,7:24:00,Summer
"Sunday, Aug 25, 2024",1,6:02:30,Summer
"Monday, Aug 26, 2024",2,9:42:00,Summer
"Tuesday, Aug 27, 2024",1,7:10:00,Summer
"Wednesday, Aug 28, 2024",2,8:23:00,Summer
"Thursday, Aug 29, 2024",1,6:04:30,Summer
"Friday, Aug 30, 2024",1,5:32:30,Summer
"Saturday, Aug 31, 2024",2,8:00:30,Summer
"Sunday, Sep 1, 2024",2,7:43:30,Summer
"Monday, Sep 2, 2024",1,5:49:30,Summer
"Tuesday, Sep 3, 2024",1,11:06:30,Summer
"Wednesday, Sep 4, 2024",1,7:14:30,Summer
"Thursday, Sep 5, 2024",2,7:02:30,Summer
"Friday, Sep 6, 2024",1,8:13:00,Summer
"Saturday, Sep 7, 2024",2,7:47:00,Summer
"Sunday, Sep 8, 2024",2,11:09:00,Summer
"Monday, Sep 9, 2024",1,8:07:30,Summer
"Tuesday, Sep 10, 2024",1,6:37:30,Summer
"Wednesday, Sep 11, 2024",1,8:52:30,Summer
"Thursday, Sep 12, 2024",2,6:30:00,Summer
"Friday, Sep 13, 2024",1,8:10:00,School
"Saturday, Sep 14, 2024",1,8:55:00,School
"Sunday, Sep 15, 2024",1,7:44:30,School
"Monday, Sep 16, 2024",1,8:22:30,School
"Tuesday, Sep 17, 2024",1,8:03:30,School
"Wednesday, Sep 18, 2024",1,8:11:00,School
"Thursday, Sep 19, 2024",1,6:57:30,School
"Friday, Sep 20, 2024",1,7:28:00,School
"Saturday, Sep 21, 2024",2,8:39:30,School
"Sunday, Sep 22, 2024",1,5:58:00,School
"Monday, Sep 23, 2024",1,7:46:00,School
"Tuesday, Sep 24, 2024",1,7:07:00,School
"Wednesday, Sep 25, 2024",2,7:26:30,School
"Thursday, Sep 26, 2024",1,5:55:00,School
"Friday, Sep 27, 2024",1,7:25:00,School
"Saturday, Sep 28, 2024",1,5:50:30,School
"Sunday, Sep 29, 2024",2,6:29:00,School
"Monday, Sep 30, 2024",1,6:57:00,School
"Tuesday, Oct 1, 2024",1,7:27:00,School
"Wednesday, Oct 2, 2024",1,7:54:00,School
"Thursday, Oct 3, 2024",1,6:54:30,School
"Friday, Oct 4, 2024",1,8:59:30,School
"Saturday, Oct 5, 2024",1,5:02:30,School
"Sunday, Oct 6, 2024",1,9:34:00,School
"Tuesday, Oct 8, 2024",1,7:08:00,School
"Wednesday, Oct 9, 2024",1,8:45:00,School
"Thursday, Oct 10, 2024",1,6:35:30,School
"Friday, Oct 11, 2024",1,9:17:00,School
"Saturday, Oct 12, 2024",1,10:25:00,School
"Sunday, Oct 13, 2024",2,4:01:30,School
"Monday, Oct 14, 2024",1,9:47:30,School
"Tuesday, Oct 15, 2024",1,7:13:00,School
"Wednesday, Oct 16, 2024",2,6:21:30,School
"Thursday, Oct 17, 2024",2,6:37:00,School
"Friday, Oct 18, 2024",1,8:02:00,School
"Saturday, Oct 19, 2024",1,8:01:00,School
"Sunday, Oct 20, 2024",2,3:45:00,School
"Monday, Oct 21, 2024",1,8:55:30,School
"Tuesday, Oct 22, 2024",1,7:30:00,School
"Wednesday, Oct 23, 2024",1,6:20:30,School
"Thursday, Oct 24, 2024",1,6:56:30,School
